"","X.miRNA","precursor","AD_A_S33_L001","AD_B_S34_L001","AD_C_S35_L001","AD_D_S36_L001","AD_E_S37_L001","AD_F_S38_L001","AD_G_S39_L001","AD_H_S40_L001","AD_I_S41_L001","AD_J_S42_L001","AD_K_S43_L001","AD_L_S44_L001","AD_M_S45_L001","AD_N_S46_L001","AD_O_S47_L001","AD_Q_S48_L001","MMCI_A_S17_L001","MMCI_B_S18_L001","MMCI_C_S19_L001","MMCI_D_S20_L001","MMCI_E_S21_L001","MMCI_F_S22_L001","MMCI_G_S23_L001","MMCI_H_S24_L001","MMCI_I_S25_L001","MMCI_J_S26_L001","MMCI_K_S27_L001","MMCI_L_S28_L001","MMCI_M_S29_L001","MMCI_N_S30_L001","MMCI_O_S31_L001","MMCI_P_S32_L001","NCI_A_S1_L001","NCI_B_S2_L001","NCI_C_S3_L001","NCI_D_S4_L001","NCI_E_S5_L001","NCI_F_S6_L001","NCI_G__S7_L001","NCI_H_S8_L001","NCI_I_S9_L001","NCI_J_S10_L001","NCI_K_S11_L001","NCI_L_S12_L001","NCI_M_S13_L001","NCI_N_S14_L001","NCI_O_S15_L001","NCI_P_S16_L001"
"536","hsa-miR-219a-5p","hsa-mir-219a-1",139.44,36.81,24.04,133.51,52.02,88.41,34.37,185.44,25.2,13.53,31.83,251.24,36.96,76.31,37.55,435.11,52.3,58.18,93.04,35.26,116.16,15.46,33.22,60.64,192.32,46.84,92.6,32.48,33.62,66.67,80.97,93.25,26.87,91.36,41.88,47.57,210.39,28.13,30.78,237.81,63.41,32.34,147.98,69.08,91,132.24,217.66,49.79
"537","hsa-miR-219a-1-3p","hsa-mir-219a-1",3.32,0,0,0,0,1.67,1.23,0,1.33,0,0,1.51,0,0,0,0,0,3.23,0,0,0,0,3.32,0,0,0,6.17,0,0,1.33,1.59,0,0,0,1.9,0,0,3.13,0,0,0,1.2,0,1.33,0,0,1.93,0
"538","hsa-miR-219a-5p","hsa-mir-219a-2",139.44,36.81,24.04,137.4,52.02,93.41,30.69,208.21,26.52,9.47,32.93,258.81,38.44,76.31,45.06,448.07,66.73,48.48,105.05,35.26,129.99,15.46,36.55,63.67,194.74,44.24,78.19,34.1,38.01,64,84.15,95.2,32.84,100.49,36.17,49.1,226.44,28.13,34.8,245.68,60.97,35.93,149.47,69.08,92.38,136.69,229.21,54.31
"539","hsa-miR-219a-2-3p","hsa-mir-219a-2",26.56,14.31,5.72,42.77,8.67,20.02,8.59,60.19,11.94,4.06,12.07,59.03,13.31,12.72,6.01,105.54,21.64,29.09,42.02,7.66,24.89,4.22,4.98,22.74,60.48,16.91,22.64,8.12,7.31,20,17.47,44.68,20.9,45.68,11.42,9.21,51.71,6.25,9.37,58.27,7.32,16.77,28.4,13.28,31.71,34.17,28.89,4.53
"540","hsa-miR-219b-5p","hsa-mir-219b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"541","hsa-miR-219b-3p","hsa-mir-219b",0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"542","hsa-miR-22-5p","hsa-mir-22",456.49,689.09,470.5,557.37,524.58,488.74,476.25,486.37,408.46,414.06,300.72,563.03,594.35,638.05,510.71,527.68,400.38,478.34,402.17,528.86,586.34,331.7,523.26,439.62,458.43,559.48,788.11,420.58,611.09,517.36,568.41,499.3,501.58,523.03,704.36,509.41,625.82,573.6,327.89,587.44,636.49,446.79,526.14,483.56,536.37,577.98,597.11,441.31
"543","hsa-miR-22-3p","hsa-mir-22",4.98,22.49,22.9,22.04,18.43,21.68,13.5,11.39,9.28,14.88,19.76,21.19,41.4,23.32,12.02,11.11,21.64,22.62,7.5,21.46,11.06,12.65,9.97,21.22,10.89,20.82,39.1,4.87,19.01,18.67,19.05,5.83,8.96,20.56,19.04,23.02,14.26,15.63,13.38,23.62,29.26,19.17,10.46,14.61,15.17,22.29,25.04,9.05
"544","hsa-miR-221-5p","hsa-mir-221",9.96,4.09,9.16,9.07,22.76,13.34,9.82,8.13,15.91,14.88,8.78,6.05,10.35,10.6,12.02,1.85,9.02,0,6,6.13,24.89,19.68,6.64,4.55,4.84,16.91,14.4,4.87,10.23,8,3.18,17.49,5.97,0,3.81,13.81,5.35,18.76,13.38,7.87,12.19,9.58,11.96,14.61,11.03,13.37,3.85,6.79
"545","hsa-miR-221-3p","hsa-mir-221",5768.33,10753.48,12135.78,7030.64,8000.87,6465.39,7753.84,5693.32,11668.91,13467.82,6215.22,3564.34,10016.65,9532.65,5581.77,2832.82,6339.32,10112.93,7924.9,6861.36,9387.02,10451.23,10624.67,7565.98,6837.79,12321.5,10173.45,7994.36,10243.82,7381.78,8403.91,6450.07,12417.04,8989.67,10390.25,8830.26,7472.41,13244.31,8373.88,6200.39,11893.32,11064.36,10068.35,8301.53,10749.46,8637.01,5167.86,8792.16
"546","hsa-miR-222-5p","hsa-mir-222",0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"547","hsa-miR-222-3p","hsa-mir-222",3.32,0,8.01,0,4.34,5,2.45,1.63,6.63,1.35,1.1,0,2.96,0,1.5,1.85,0,6.46,3,1.53,0,0,1.66,1.52,2.42,14.31,4.12,6.5,7.31,0,7.94,3.89,2.99,0,9.52,6.14,3.57,1.56,1.34,4.72,4.88,7.19,0,1.33,0,0,0,2.26
"548","hsa-miR-223-5p","hsa-mir-223",6.64,2.04,3.43,3.89,0,3.34,0,0,1.33,1.35,2.2,6.05,1.48,2.12,3,0,5.41,0,0,3.07,2.77,2.81,4.98,9.1,1.21,1.3,18.52,1.62,0,0,0,1.94,0,0,1.9,0,8.91,0,4.01,3.15,2.44,3.59,1.49,2.66,5.52,2.97,1.93,2.26
"549","hsa-miR-223-3p","hsa-mir-223",107.9,32.72,51.51,80.37,69.37,141.78,54.01,65.07,83.55,166.44,54.88,83.24,56.18,67.83,93.13,51.84,46.89,48.48,69.03,52.12,55.32,102.6,99.67,103.08,128.22,74.16,82.31,64.96,71.64,58.67,52.4,66.05,68.67,41.11,24.75,59.84,82.02,53.14,60.22,77.17,24.39,104.21,88.19,37.2,30.33,46.06,94.38,63.37
"550","hsa-miR-224-5p","hsa-mir-224",86.32,18.4,20.61,14.26,16.26,36.7,27,11.39,37.13,44.65,19.76,15.14,20.7,25.44,19.53,5.55,3.61,16.16,19.51,19.93,11.06,14.05,44.85,42.45,31.45,27.32,67.91,9.74,20.47,10.67,49.22,15.54,11.94,11.42,24.75,19.95,37.44,31.26,13.38,23.62,12.19,27.55,20.93,11.96,12.41,23.77,9.63,24.89
"551","hsa-miR-224-3p","hsa-mir-224",0,0,3.43,2.59,1.08,0,2.45,0,2.65,5.41,0,1.51,1.48,0,0,0,1.8,3.23,0,0,0,0,0,1.52,2.42,2.6,0,0,0,0,0,0,2.99,0,5.71,1.53,1.78,3.13,0,1.57,0,0,0,0,0,1.49,0,0
"552","hsa-miR-2276-5p","hsa-mir-2276",0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0
"553","hsa-miR-2276-3p","hsa-mir-2276",1.66,0,0,3.89,0,5,0,8.13,0,1.35,1.1,0,0,0,0,3.7,0,0,3,0,5.53,0,0,0,1.21,0,0,0,0,1.33,0,5.83,0,2.28,0,0,1.78,0,0,4.72,0,0,1.49,1.33,2.76,1.49,0,0
"554","hsa-miR-2277-5p","hsa-mir-2277",49.8,34.76,33.2,24.63,35.77,28.36,33.14,39.04,51.72,43.3,42.8,34.81,44.35,57.23,54.08,25.92,28.86,74.34,39.02,27.59,60.85,33.73,33.22,39.41,48.38,33.83,49.39,27.61,36.55,34.67,49.22,25.26,38.81,22.84,41.88,30.69,24.96,21.88,30.78,12.6,46.33,55.1,38.86,51.81,33.09,35.66,28.89,18.1
"555","hsa-miR-2277-3p","hsa-mir-2277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"556","hsa-miR-2278","hsa-mir-2278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"557","hsa-miR-2355-5p","hsa-mir-2355",6.64,0,3.43,1.3,1.08,3.34,2.45,3.25,0,0,3.29,1.51,1.48,0,0,11.11,0,0,0,1.53,5.53,1.41,4.98,3.03,2.42,0,0,1.62,0,1.33,6.35,1.94,0,2.28,0,1.53,5.35,0,0,1.57,2.44,0,0,1.33,0,1.49,7.7,2.26
"558","hsa-miR-2355-3p","hsa-mir-2355",14.94,12.27,9.16,16.85,10.84,11.68,7.36,26.03,7.96,8.12,5.49,24.22,13.31,14.84,13.52,35.18,5.41,6.46,13.51,4.6,8.3,5.62,9.97,9.1,22.98,7.81,30.87,14.61,7.31,2.67,15.88,9.71,14.93,6.85,7.61,10.74,14.26,4.69,8.03,9.45,17.07,10.78,13.45,10.63,11.03,16.34,19.26,13.58
"559","hsa-miR-2392","hsa-mir-2392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"560","hsa-miR-23a-5p","hsa-mir-23a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"561","hsa-miR-23a-3p","hsa-mir-23a",1894.01,950.82,1368.01,858.09,655.72,1152.63,839.58,1559.97,1399.1,1704.96,1032.76,2311.15,774.72,1178.6,1101.03,1773.75,1249.83,1147.36,1006.93,910.56,1219.7,1047.09,990.04,979.29,1833.73,1072.11,1111.18,1032.79,823.07,896.05,1465.48,938.37,1250.96,1288.15,770.99,808.61,943.19,797.1,1255.35,822.1,846.21,686.36,868.43,860.84,899.01,968.75,1018.93,1142.87
"562","hsa-miR-23b-5p","hsa-mir-23b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,1.5,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"563","hsa-miR-23b-3p","hsa-mir-23b",5086.09,2500.76,2209.42,3921.03,1873.95,3007.51,1994.62,6740.9,3230.53,3051.33,2484.77,4425.54,2605.07,3162.71,3037.23,12806.94,4606.15,2721.34,3460.48,2697.94,4300.77,2112.45,2823.94,2942.41,7638.54,2399.25,3197.72,2354.63,2401.97,2938.84,4355.17,3854.5,4415.68,5056.69,2175.9,2764.92,4917.42,2128.72,3289.6,5343.64,2345.99,2472.32,4155.29,2237.12,3110.67,3681.83,5167.86,3145.71
"564","hsa-miR-23c","hsa-mir-23c",0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,1.94,0,0,0,0,1.78,0,0,1.57,0,1.2,0,0,0,0,0,0
"565","hsa-miR-24-1-5p","hsa-mir-24-1",265.59,143.13,113.33,349.98,115.97,118.43,100.65,331.84,95.48,67.66,122.92,336,172.98,186.54,96.13,738.75,173.14,90.5,190.58,96.57,196.37,78.71,141.2,119.76,354.41,156.13,261.33,103.93,137.42,122.67,247.69,252.56,140.32,226.11,188.46,148.83,470.7,129.72,92.34,532.32,112.18,128.17,318.37,151.44,248.19,265.96,317.81,153.89
"566","hsa-miR-24-3p","hsa-mir-24-1",8849.2,6741.63,6960.24,8833.67,6331.76,6415.35,5546.87,10321.18,6929.2,6719.7,5694.99,10443.3,7213.46,8146.32,6329.81,14473.3,6820.85,6105.25,7629.27,6580.83,8952.8,6000.04,7192.75,6692.81,11725.73,7032.5,8790.65,6422.45,7078.72,6260.38,8464.24,7984.88,8505.92,8046.39,6563.87,7091.83,11230.91,6544.01,6912.44,12191.32,6520.97,6791.7,9008.61,6958.46,8404.04,9323.45,8998.98,6486.06
"567","hsa-miR-24-3p","hsa-mir-24-2",8754.59,6694.6,6901.86,8764.97,6287.32,6325.27,5484.27,10217.08,6861.57,6626.33,5645.61,10349.46,7152.85,7824.11,6266.72,14302.96,6757.73,5979.2,7566.24,6536.38,8800.68,5886.2,7121.32,6630.66,11585.42,6977.85,8389.39,6342.88,7026.09,6207.04,8399.15,7920.77,8344.7,7971.02,6510.57,7016.64,11168.5,6495.56,6860.24,12142.5,6464.88,6724.62,8927.89,6909.3,8333.72,9246.19,8908.45,6424.95
"568","hsa-miR-24-2-5p","hsa-mir-24-2",41.5,40.9,54.95,44.07,32.52,25.02,17.18,60.19,23.87,44.65,30.73,95.35,32.53,55.11,25.54,59.25,18.04,45.25,39.02,22.99,49.78,9.84,43.19,16.68,53.22,55.95,41.15,58.46,45.32,20,49.22,42.74,32.84,27.41,45.69,29.15,46.36,43.76,30.78,89.77,29.26,26.35,47.83,46.5,46.88,46.06,34.67,49.79
"569","hsa-miR-2467-5p","hsa-mir-2467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"570","hsa-miR-2467-3p","hsa-mir-2467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0
"571","hsa-miR-25-5p","hsa-mir-25",0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"572","hsa-miR-25-3p","hsa-mir-25",358.55,218.79,236.97,438.12,213.52,286.91,231.99,414.8,269.21,177.26,221.7,650.81,239.51,137.79,238.83,755.42,248.88,248.86,301.63,164.02,301.47,164.44,237.54,181.91,493.51,264.13,269.56,204.61,226.6,229.35,274.68,262.28,152.26,239.82,199.89,204.07,461.79,198.49,190.04,503.97,214.6,317.42,276.52,232.48,307.48,314.99,358.26,264.78
"573","hsa-miR-2681-5p","hsa-mir-2681",0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"574","hsa-miR-2681-3p","hsa-mir-2681",4.98,2.04,8.01,5.18,5.42,5,2.45,1.63,1.33,12.18,6.59,0,4.44,6.36,3,0,0,3.23,4.5,3.07,2.77,4.22,6.64,0,1.21,0,8.23,4.87,8.77,8,11.11,1.94,8.96,0,5.71,4.6,3.57,3.13,9.37,3.15,2.44,9.58,4.48,2.66,4.14,2.97,1.93,4.53
"575","hsa-miR-2682-5p","hsa-mir-2682",36.52,61.34,22.9,22.04,35.77,50.04,30.69,35.79,27.85,41.95,27.44,10.59,47.31,44.52,18.03,1.85,16.23,93.73,25.51,30.66,71.91,32.33,23.26,40.93,18.14,29.93,41.15,37.35,32.16,37.34,33.34,34.97,50.75,59.38,26.65,39.89,30.31,40.64,24.09,20.47,73.16,28.75,28.4,23.91,30.33,34.17,25.04,49.79
"576","hsa-miR-2682-3p","hsa-mir-2682",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"577","hsa-miR-26a-5p","hsa-mir-26a-1",1648.33,1145.07,1252.39,1703.22,1208.48,1414.51,973.37,1948.74,1062.26,976.97,1056.9,1999.36,1256.7,1326.98,1171.63,1988.53,2158.79,795.07,1125.48,1112.9,1338.63,881.24,1186.06,924.71,1948.64,1016.17,1625.61,953.22,1116.92,1050.73,1475.01,1342.47,1427.11,1244.76,1064.15,1322.62,1403.19,967.46,1148.28,1661.52,812.07,1019.35,1167.37,1042.84,1218.9,1283.74,1369.49,1031.98
"578","hsa-miR-26a-1-3p","hsa-mir-26a-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"579","hsa-miR-26a-5p","hsa-mir-26a-2",1649.99,1145.07,1252.39,1703.22,1208.48,1414.51,970.92,1950.37,1060.93,976.97,1056.9,1997.85,1256.7,1326.98,1171.63,1986.68,2158.79,795.07,1125.48,1112.9,1335.87,878.43,1186.06,924.71,1947.43,1014.87,1625.61,953.22,1116.92,1049.4,1475.01,1342.47,1427.11,1244.76,1064.15,1322.62,1403.19,967.46,1146.94,1659.95,812.07,1019.35,1167.37,1041.51,1218.9,1283.74,1369.49,1029.71
"580","hsa-miR-26a-2-3p","hsa-mir-26a-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"581","hsa-miR-26b-5p","hsa-mir-26b",810.06,439.63,575.82,874.94,479.05,602.17,439.43,1124.03,537.1,474.95,447.79,1144.22,526.34,663.49,627.87,1396.04,719.6,171.3,646.78,562.58,544.86,465.22,641.2,439.62,1054.76,513.94,732.55,381.61,543.84,438.69,689.08,734.38,677.73,570.99,498.76,570.78,1039.47,420.43,448.34,1286.7,297.52,491.11,744.36,490.2,634.27,728.05,961.15,414.15
"582","hsa-miR-26b-3p","hsa-mir-26b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"583","hsa-miR-27a-5p","hsa-mir-27a",1.66,2.04,1.14,1.3,1.08,0,2.45,3.25,2.65,1.35,0,3.03,2.96,6.36,0,3.7,1.8,9.7,1.5,1.53,0,0,0,1.52,2.42,1.3,0,0,1.46,0,0,0,0,0,0,1.53,0,0,1.34,6.3,0,1.2,0,1.33,0,0,0,0
"584","hsa-miR-27a-3p","hsa-mir-27a",11.62,4.09,0,0,4.34,1.67,1.23,3.25,2.65,2.71,4.39,10.59,4.44,6.36,4.51,3.7,1.8,6.46,0,0,5.53,1.41,0,3.03,8.47,3.9,0,1.62,1.46,2.67,3.18,3.89,5.97,6.85,0,4.6,5.35,3.13,0,0,2.44,0,4.48,2.66,0,0,1.93,0
"585","hsa-miR-27b-5p","hsa-mir-27b",48.14,49.07,37.78,47.96,40.1,53.38,27,84.59,41.11,46.01,48.29,60.54,48.79,57.23,21.03,109.24,41.48,96.96,42.02,30.66,55.32,59.03,54.82,43.96,68.95,45.54,47.33,53.59,52.63,29.34,66.69,50.51,53.74,77.65,64.72,50.63,98.06,37.51,34.8,99.22,68.28,45.52,73.24,34.54,60.67,56.46,61.64,56.58
"586","hsa-miR-27b-3p","hsa-mir-27b",48797.61,28907.01,27071.67,42431.43,26349.1,28790.66,25869.87,58395.62,33278.74,35078.84,31073.88,39057.92,33224.22,40816.37,31217.94,99174.59,38604.02,26857.91,42073.53,30126.51,41494.84,33297.49,29839.12,34411.51,62119.51,29081.09,40514.76,30299.98,30408.38,27995.01,40882.72,43128.05,43296.92,44927.78,28176.28,30917.43,56742.91,30252.16,32216.1,50595.31,27998.21,32148.56,44892.06,28577.77,34567.58,39795.91,47073.21,30330.12
"587","hsa-miR-28-5p","hsa-mir-28",131.14,110.42,113.33,95.92,94.29,103.42,87.15,86.21,115.38,109.6,73.53,154.38,119.76,103.87,99.14,187,61.32,80.8,81.03,61.32,85.74,75.9,89.7,75.8,100.4,114.5,94.66,81.19,77.48,96.01,103.2,118.51,83.6,77.65,100.89,95.13,117.68,87.52,93.68,137.02,75.6,80.25,88.19,90.34,108.93,105.49,102.09,63.37
"588","hsa-miR-28-3p","hsa-mir-28",94.62,87.93,113.33,141.29,67.2,150.13,95.74,152.91,95.48,92.01,88.9,207.35,82.79,55.11,70.6,229.59,57.71,158.37,81.03,73.58,127.23,92.76,89.7,80.34,169.34,107.99,109.06,103.93,87.72,80,92.09,149.6,80.61,79.94,110.41,104.34,153.34,70.33,68.25,129.14,109.74,98.22,82.21,94.32,89.62,95.09,104.01,88.26
"589","hsa-miR-2861","hsa-mir-2861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"590","hsa-miR-2909","hsa-mir-2909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"591","hsa-miR-296-5p","hsa-mir-296",0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"592","hsa-miR-296-3p","hsa-mir-296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"593","hsa-miR-297","hsa-mir-297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"594","hsa-miR-298","hsa-mir-298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"595","hsa-miR-299-5p","hsa-mir-299",18.26,30.67,25.19,10.37,20.59,16.68,27,11.39,13.26,32.48,14.27,4.54,20.7,27.56,34.55,9.26,23.45,25.86,27.01,19.93,16.59,26.7,28.24,25.77,12.1,22.12,24.69,16.24,20.47,28,19.05,23.31,20.9,22.84,26.65,18.41,10.7,17.19,18.74,7.87,17.07,20.36,14.95,14.61,16.55,11.89,25.04,31.68
"596","hsa-miR-299-3p","hsa-mir-299",0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"597","hsa-miR-29a-5p","hsa-mir-29a",6.64,12.27,3.43,5.18,4.34,10.01,4.91,3.25,9.28,8.12,9.88,13.62,2.96,14.84,9.01,5.55,10.82,12.93,6,3.07,2.77,5.62,6.64,7.58,0,5.2,6.17,8.12,5.85,8,0,5.83,0,0,7.61,4.6,5.35,6.25,5.35,4.72,4.88,3.59,5.98,6.64,2.76,4.46,9.63,2.26
"598","hsa-miR-29a-3p","hsa-mir-29a",38285.14,36797.8,25590.33,29544.51,34207.99,36765.64,32172.86,28404.81,30698.03,33459.13,32049.57,28663.06,30905.98,34139.06,34306.24,29774.23,33056.44,34294.75,31489.49,30065.2,30343.26,29411.31,33598.29,34311.46,29431.65,32103.57,32215.91,30413.65,29882.08,35452.79,31870.71,34513.71,31796.45,27300.18,33181.04,29711.42,29062.36,28961.18,29069.71,25634.69,31836.65,28842.55,30542.86,28759.77,30719.23,30729.5,38241.81,30416.12
"599","hsa-miR-29b-1-5p","hsa-mir-29b-1",4.98,6.13,0,1.3,3.25,1.67,0,3.25,1.33,4.06,1.1,3.03,7.39,4.24,0,1.85,3.61,0,0,3.07,16.59,1.41,0,0,6.05,5.2,4.12,6.5,2.92,4,1.59,3.89,2.99,2.28,1.9,0,1.78,4.69,2.68,1.57,0,2.4,4.48,6.64,0,2.97,0,9.05
"600","hsa-miR-29b-3p","hsa-mir-29b-1",204.17,200.39,209.49,230.73,248.2,163.47,173.07,244,205.56,175.91,192.06,189.19,205.51,228.94,160.72,218.48,144.28,80.8,207.09,229.94,210.2,205.2,250.83,150.08,169.34,170.45,267.51,160.76,216.37,228.01,207.99,237.02,259.75,143.89,262.71,220.95,260.31,246.94,161.94,247.26,121.93,195.25,210.75,219.2,261.98,188.7,213.8,212.73
"601","hsa-miR-29b-3p","hsa-mir-29b-2",204.17,204.48,209.49,232.02,249.28,165.14,173.07,245.63,206.88,175.91,193.16,189.19,206.99,228.94,162.23,218.48,146.08,84.03,207.09,229.94,210.2,208.01,252.49,151.59,171.76,170.45,267.51,159.14,216.37,229.35,209.58,235.08,259.75,143.89,262.71,220.95,260.31,248.51,163.28,247.26,126.81,195.25,210.75,220.52,261.98,188.7,217.66,214.99
"602","hsa-miR-29b-2-5p","hsa-mir-29b-2",26.56,22.49,16.03,28.52,20.59,16.68,46.64,13.01,27.85,35.18,28.54,15.14,23.66,44.52,22.53,14.81,23.45,45.25,25.51,19.93,19.36,22.49,28.24,24.25,16.93,29.93,37.04,29.23,23.39,17.33,39.69,25.26,50.75,13.7,28.56,13.81,19.61,21.88,21.41,7.87,17.07,29.95,13.45,22.58,16.55,10.4,15.41,38.47
"603","hsa-miR-29c-5p","hsa-mir-29c",227.41,243.33,146.53,159.43,214.6,300.25,211.12,203.33,173.73,151.55,195.36,160.43,186.29,184.42,244.84,203.67,248.88,326.43,222.1,197.75,157.65,168.66,210.97,281.96,170.55,180.85,160.5,189.99,204.67,249.35,209.58,192.34,170.18,196.42,182.75,168.78,151.55,185.99,182.01,133.87,282.88,155.72,170.4,147.46,150.29,193.16,211.88,199.15
"604","hsa-miR-29c-3p","hsa-mir-29c",766.9,484.61,317.1,394.05,533.25,745.62,492.21,427.81,381.94,541.26,534.49,441.95,437.63,472.71,642.89,616.55,685.33,669.02,573.25,599.37,525.5,434.3,490.04,824.66,528.59,405.95,510.32,605.71,450.28,572.03,465.21,625.58,573.23,472.78,380.73,403.54,460.01,368.85,465.74,297.66,531.63,394.09,437.95,399.87,442.61,497.75,643.33,466.2
"605","hsa-miR-300","hsa-mir-300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"606","hsa-miR-301a-5p","hsa-mir-301a",0,2.04,1.14,3.89,2.17,3.34,2.45,1.63,3.98,1.35,1.1,4.54,0,0,1.5,0,1.8,3.23,9,3.07,2.77,0,4.98,1.52,1.21,2.6,6.17,1.62,1.46,0,1.59,1.94,2.99,4.57,1.9,3.07,14.26,1.56,0,3.15,7.32,2.4,0,0,2.76,4.46,0,0
"607","hsa-miR-301a-3p","hsa-mir-301a",19.92,18.4,9.16,7.78,18.43,18.35,18.41,9.76,14.59,9.47,14.27,25.73,17.74,19.08,13.52,29.62,14.43,19.39,13.51,10.73,11.06,11.24,16.61,18.19,22.98,11.71,12.35,12.99,16.08,24,9.53,11.66,23.88,15.99,13.33,12.27,14.26,12.5,16.06,12.6,17.07,17.97,10.46,13.28,16.55,8.91,19.26,11.32
"608","hsa-miR-301b-5p","hsa-mir-301b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
