"","X.miRNA","precursor","AD_A_S33_L001","AD_B_S34_L001","AD_C_S35_L001","AD_D_S36_L001","AD_E_S37_L001","AD_F_S38_L001","AD_G_S39_L001","AD_H_S40_L001","AD_I_S41_L001","AD_J_S42_L001","AD_K_S43_L001","AD_L_S44_L001","AD_M_S45_L001","AD_N_S46_L001","AD_O_S47_L001","AD_Q_S48_L001","MMCI_A_S17_L001","MMCI_B_S18_L001","MMCI_C_S19_L001","MMCI_D_S20_L001","MMCI_E_S21_L001","MMCI_F_S22_L001","MMCI_G_S23_L001","MMCI_H_S24_L001","MMCI_I_S25_L001","MMCI_J_S26_L001","MMCI_K_S27_L001","MMCI_L_S28_L001","MMCI_M_S29_L001","MMCI_N_S30_L001","MMCI_O_S31_L001","MMCI_P_S32_L001","NCI_A_S1_L001","NCI_B_S2_L001","NCI_C_S3_L001","NCI_D_S4_L001","NCI_E_S5_L001","NCI_F_S6_L001","NCI_G__S7_L001","NCI_H_S8_L001","NCI_I_S9_L001","NCI_J_S10_L001","NCI_K_S11_L001","NCI_L_S12_L001","NCI_M_S13_L001","NCI_N_S14_L001","NCI_O_S15_L001","NCI_P_S16_L001"
"14","hsa-let-7e-3p","hsa-let-7e",0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","hsa-let-7f-5p","hsa-let-7f-1",7079.7,6093.43,7627.65,8534.25,6493.25,5834.86,5447.45,8852.31,6000.89,5868.57,5812.43,9391.4,6493.45,7224.21,6041.41,10709.17,6844.3,3393.6,6535.3,6131.69,6435.95,6045.02,7049.89,5252.68,8139.31,6063.17,8267.98,5313.34,6167.93,5366.99,7454.44,6978.51,8329.78,5840.09,6095.56,6573.21,8795.37,5904.77,6130.86,10304.59,4450.55,5908.9,5868.22,5191.61,7219.62,7069.48,7881.81,6103.59
"16","hsa-let-7f-1-3p","hsa-let-7f-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","hsa-let-7f-5p","hsa-let-7f-2",7109.58,6079.12,7628.79,8538.13,6487.83,5841.53,5457.27,8847.43,6003.54,5876.69,5806.94,9388.37,6494.93,7241.17,6032.39,10718.43,6840.69,3367.74,6511.29,6108.69,6433.18,6032.37,7033.28,5245.1,8136.89,6073.58,8251.52,5311.71,6159.16,5352.32,7451.26,7013.48,8323.8,5860.64,6089.85,6568.61,8795.37,5898.52,6122.83,10314.04,4433.48,5919.68,5875.7,5187.62,7211.35,7059.08,7893.37,6087.75
"18","hsa-let-7f-2-3p","hsa-let-7f-2",0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","hsa-let-7g-5p","hsa-let-7g",6118.58,5418.66,5941.39,7258.78,5948.08,5669.72,5402.03,7853.54,5060.64,5171.71,5400.86,7661.44,5888.75,7071.59,5686.91,8504.01,6126.51,3215.84,5265.76,5015.72,5534.31,4625.47,6010.02,4488.66,6320.09,5432.13,7031.28,4931.72,5717.65,5049.64,6535.14,6119.8,6759.36,5065.82,5383.59,5991.69,7675.67,5329.61,5133.81,8298.16,4316.42,5192.59,5765.09,4762.52,5638.09,5591.1,6608.63,4766.1
"20","hsa-let-7g-3p","hsa-let-7g",4.98,4.09,2.29,1.3,5.42,1.67,0,6.51,1.33,2.71,2.2,0,4.44,0,1.5,1.85,1.8,0,3,3.07,5.53,1.41,0,3.03,0,2.6,0,1.62,2.92,1.33,3.18,5.83,0,0,0,1.53,3.57,4.69,0,0,0,1.2,1.49,0,0,1.49,0,0
"21","hsa-let-7i-5p","hsa-let-7i",31.54,32.72,26.33,58.33,35.77,30.03,44.19,43.92,37.13,40.59,29.63,66.59,31.05,40.28,36.05,107.39,30.66,32.32,34.51,39.86,69.14,68.87,31.56,34.87,68.95,35.13,47.33,60.08,20.47,44,47.63,38.86,35.83,47.96,38.07,29.15,53.49,21.88,26.77,37.8,29.26,39.53,40.36,33.21,30.33,35.66,46.23,24.89
"22","hsa-let-7i-3p","hsa-let-7i",19.92,12.27,16.03,12.96,17.34,21.68,23.32,21.15,13.26,17.59,15.37,16.65,16.26,14.84,9.01,40.73,18.04,9.7,13.51,16.86,13.83,18.27,11.63,24.25,25.4,14.31,8.23,14.61,7.31,4,30.17,15.54,14.93,20.56,13.33,19.95,26.74,10.94,8.03,14.17,17.07,9.58,14.95,17.27,13.79,13.37,30.82,9.05
"23","hsa-miR-1-3p","hsa-mir-1-1",214.13,237.19,404.11,195.73,375.01,308.59,321.59,193.57,287.78,282.81,482.91,370.81,212.9,330.69,349.99,87.02,270.53,319.97,231.1,283.59,237.86,282.5,322.26,256.19,137.89,215.98,355.99,384.86,277.77,301.35,282.62,221.48,379.17,239.82,260.8,288.46,162.25,251.63,424.25,187.41,202.41,200.04,159.93,297.57,328.16,295.68,340.93,273.84
