"","AD_A_S33_L001_R1_001","AD_B_S34_L001_R1_001","AD_C_S35_L001_R1_001","AD_D_S36_L001_R1_001","AD_E_S37_L001_R1_001","AD_F_S38_L001_R1_001","AD_G_S39_L001_R1_001","AD_H_S40_L001_R1_001","AD_I_S41_L001_R1_001","AD_J_S42_L001_R1_001","AD_K_S43_L001_R1_001","AD_L_S44_L001_R1_001","AD_M_S45_L001_R1_001","AD_N_S46_L001_R1_001","AD_O_S47_L001_R1_001","AD_Q_S48_L001_R1_001","MMCI_A_S17_L001_R1_001","MMCI_B_S18_L001_R1_001","MMCI_C_S19_L001_R1_001","MMCI_D_S20_L001_R1_001","MMCI_E_S21_L001_R1_001","MMCI_F_S22_L001_R1_001","MMCI_G_S23_L001_R1_001","MMCI_H_S24_L001_R1_001","MMCI_I_S25_L001_R1_001","MMCI_J_S26_L001_R1_001","MMCI_K_S27_L001_R1_001","MMCI_L_S28_L001_R1_001","MMCI_M_S29_L001_R1_001","MMCI_N_S30_L001_R1_001","MMCI_O_S31_L001_R1_001","MMCI_P_S32_L001_R1_001","NCI_A_S1_L001_R1_001","NCI_B_S2_L001_R1_001","NCI_C_S3_L001_R1_001","NCI_D_S4_L001_R1_001","NCI_E_S5_L001_R1_001","NCI_F_S6_L001_R1_001","NCI_G__S7_L001_R1_001","NCI_H_S8_L001_R1_001","NCI_I_S9_L001_R1_001","NCI_J_S10_L001_R1_001","NCI_K_S11_L001_R1_001","NCI_L_S12_L001_R1_001","NCI_M_S13_L001_R1_001","NCI_N_S14_L001_R1_001","NCI_O_S15_L001_R1_001","NCI_P_S16_L001_R1_001"
"tRF-38-PSQP4PW3FJI0E70F",515.64,4469.96,1264,911.79,1007.32,876.32,1269.47,1185.63,3482.86,2170.45,1994.14,455.23,1106.61,2525.02,618.21,315.02,184.12,2529.12,1274.61,1082.28,3327.72,1745.47,790.49,729.4,2161.88,1026.2,2285.03,2584.6,1183.02,664.96,749.17,1021.56,1635.13,4777.55,4045.59,867.61,801.2,2253.93,1503.2,455.03,1179.9,1198.9,1387.35,1175.02,1888.86,1065.08,540.79,6673.62
"tRF-38-PSQP4PW3FJIKE70F",993.29,6607.43,1290.7,1683.3,1228.71,954.21,1777.26,1912.9,4392.95,3633.68,2447.36,596.13,1555.52,4049.06,1331.53,978.83,409.15,2409.72,1800.22,1666.25,6898.93,2020.76,1236.04,1339.45,3799.53,1322.93,4776.34,3179.05,1836.8,1106.81,1383.81,1817.11,2188.18,11086.07,6490,1497.06,1732.33,3753.28,2231.63,590.3,2115.09,2382.9,2280.9,1741.7,2330.61,2163.45,1124.85,10669.34
"tRF-38-PSQP4PWEFJI0E70F",0,0,0,0,0,0,0,0,8.75,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-38-Q01M3KYOHR6HFRD2",59.71,39,44.51,10.02,55.35,188.25,58.03,97.78,0,60.97,76.33,75.87,41.76,18.04,190.22,56.25,122.74,32.56,52.56,124.58,0,41,14.37,159.14,46.39,49.46,63.47,51.69,36.32,52.5,109.75,63.28,24.05,7.69,9.47,76.55,0,19.6,26.49,24.6,17.48,22.34,47.03,8.33,30.47,22.19,194.69,35.24
"tRF-38-Q4NKKQBRFKWE6MD6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0
"tRF-38-Q86N7KYUSRHYRSD2",32.57,54.61,8.9,40.08,33.21,32.46,36.27,55,61.26,67.06,57.25,21.68,10.44,27.05,38.04,33.75,81.83,97.69,65.7,46.72,91.31,35.14,0,39.79,102.06,74.18,15.87,19.38,41.51,26.25,23.86,36.16,72.14,107.71,47.37,102.07,43.31,0,59.6,61.49,96.14,37.23,47.03,33.33,15.23,110.95,32.45,35.24
"tRF-38-QB1M38HOB668BFD2",0,0,8.9,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,13.14,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-38-QB1MK8YU8S68BFD2",16.28,0,8.9,30.06,0,12.98,14.51,24.45,8.75,30.48,28.62,0,0,36.07,38.04,5.63,61.37,21.71,13.14,0,20.29,5.86,0,39.79,23.2,0,15.87,12.92,15.57,61.25,38.17,63.28,48.09,38.47,0,17.01,75.79,9.8,13.24,24.6,17.48,7.45,23.51,16.67,0,0,129.79,21.14
"tRF-38-QB1MK8YUBS68BFD2",124.84,85.81,62.31,90.18,166.04,253.16,174.1,165.01,113.76,207.29,238.53,108.39,0,144.29,456.53,78.76,122.74,184.53,131.4,280.3,233.35,222.58,172.47,530.48,236.6,98.91,95.21,193.84,181.6,314.98,233.82,226.01,312.6,146.17,113.69,102.07,238.2,117.6,79.46,36.89,244.72,223.4,188.12,108.34,91.4,122.04,789.56,133.9
"tRF-38-QB1MK8YUBS6PDFD2",0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.15,0,0,0,0,0,0,0,0,0,0,0,24.05,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82,0
"tRF-38-QB1MK8YUBY68BFD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-38-QNR8VP9LFQFY39DF",0,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,9.47,0,0,0,0,0,0,0,0,8.33,0,0,0,0
"tRF-38-QP4PW3FJI0E7UM02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-38-QR535Z8LZBZFD9D6",5.43,7.8,26.7,20.04,66.42,12.98,36.27,18.33,17.5,6.1,14.31,32.52,52.2,9.02,9.51,0,0,0,52.56,23.36,10.15,11.71,14.37,26.52,13.92,24.73,15.87,0,20.75,26.25,4.77,0,24.05,15.39,0,8.51,21.65,9.8,6.62,0,8.74,7.45,7.84,16.67,106.63,11.09,0,21.14
"tRF-38-R8YP9LON4VN1EHDX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82,7.05
"tRF-38-R9J89O9NF5W8E7D6",32.57,46.81,53.41,140.27,143.9,71.4,123.32,67.23,8.75,42.68,152.66,65.03,146.16,63.13,76.09,16.88,20.46,54.27,78.84,124.58,50.73,76.14,143.73,145.88,32.47,37.09,63.47,25.85,83.02,91.87,81.12,63.28,96.18,0,47.37,119.08,32.48,98,26.49,61.49,87.4,44.68,86.22,41.67,76.16,66.57,64.9,14.09
"tRF-38-RLVIJKS2PNXIP202",0,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-38-RNK47LI3VF4YO90L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0,10.83,0,0,0,0,0,0,0,0,0,0,0
