"","AD_A_S33_L001_R1_001","AD_B_S34_L001_R1_001","AD_C_S35_L001_R1_001","AD_D_S36_L001_R1_001","AD_E_S37_L001_R1_001","AD_F_S38_L001_R1_001","AD_G_S39_L001_R1_001","AD_H_S40_L001_R1_001","AD_I_S41_L001_R1_001","AD_J_S42_L001_R1_001","AD_K_S43_L001_R1_001","AD_L_S44_L001_R1_001","AD_M_S45_L001_R1_001","AD_N_S46_L001_R1_001","AD_O_S47_L001_R1_001","AD_Q_S48_L001_R1_001","MMCI_A_S17_L001_R1_001","MMCI_B_S18_L001_R1_001","MMCI_C_S19_L001_R1_001","MMCI_D_S20_L001_R1_001","MMCI_E_S21_L001_R1_001","MMCI_F_S22_L001_R1_001","MMCI_G_S23_L001_R1_001","MMCI_H_S24_L001_R1_001","MMCI_I_S25_L001_R1_001","MMCI_J_S26_L001_R1_001","MMCI_K_S27_L001_R1_001","MMCI_L_S28_L001_R1_001","MMCI_M_S29_L001_R1_001","MMCI_N_S30_L001_R1_001","MMCI_O_S31_L001_R1_001","MMCI_P_S32_L001_R1_001","NCI_A_S1_L001_R1_001","NCI_B_S2_L001_R1_001","NCI_C_S3_L001_R1_001","NCI_D_S4_L001_R1_001","NCI_E_S5_L001_R1_001","NCI_F_S6_L001_R1_001","NCI_G__S7_L001_R1_001","NCI_H_S8_L001_R1_001","NCI_I_S9_L001_R1_001","NCI_J_S10_L001_R1_001","NCI_K_S11_L001_R1_001","NCI_L_S12_L001_R1_001","NCI_M_S13_L001_R1_001","NCI_N_S14_L001_R1_001","NCI_O_S15_L001_R1_001","NCI_P_S16_L001_R1_001"
"tRF-16-08Q2B5D",5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,7.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-12Z4R90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-16MSRMB",0,0,0,0,0,6.49,0,6.11,0,0,4.77,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,9.54,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-199M88B",0,7.8,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,5.19,0,0,0,24.05,0,0,0,0,0,0,0,0,0,0,0,0,11.09,0,0
"tRF-16-1HI2NIB",0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-1IQ4YUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-1KW419B",0,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-1KWH190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-1KWH19B",43.42,101.41,35.61,80.16,99.62,25.96,29.02,24.45,96.26,48.77,66.79,32.52,125.28,90.18,76.09,5.63,61.37,162.82,52.56,23.36,50.73,99.57,172.47,66.31,23.2,0,158.68,96.92,108.96,13.12,14.32,27.12,96.18,69.24,75.8,34.02,64.96,107.8,59.6,49.19,69.92,104.25,23.51,75,106.63,55.47,21.63,56.38
"tRF-16-1MN0YUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.85,0,7.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-1MQ8YUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0
"tRF-16-1MQKYUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,15.23,22.19,0,0
"tRF-16-1N7KYUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-1NQ4YO0",0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-1PPJQMB",0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-1PSJPMB",0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-1SH2P4B",0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.09,0,0
"tRF-16-1SS2P40",0,7.8,0,10.02,0,0,0,6.11,0,0,0,10.84,0,9.02,0,0,20.46,0,0,0,0,0,0,26.52,0,0,0,0,0,0,4.77,0,0,15.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-1SS2PLB",21.71,117.01,44.51,70.14,55.35,32.46,7.25,18.33,43.75,6.1,19.08,65.03,104.4,18.04,19.02,39.38,388.69,65.13,52.56,0,40.58,35.14,43.12,106.1,102.06,49.46,47.6,32.31,10.38,4.37,14.32,81.36,48.09,92.32,37.9,59.54,43.31,19.6,13.24,0,34.96,37.23,15.68,41.67,60.93,44.38,32.45,28.19
"tRF-16-1SS2PMB",135.7,468.06,160.23,450.88,154.97,110.35,79.8,165.01,148.77,176.81,152.66,379.35,313.19,189.38,218.75,286.9,1166.07,325.64,275.95,171.3,162.33,105.43,57.49,66.31,310.83,395.64,174.55,213.23,83.02,135.62,200.41,379.7,72.14,223.11,123.17,127.59,606.32,244.99,205.28,110.68,297.16,245.74,203.79,116.67,228.49,299.55,140.61,147.99
"tRF-16-1W188MB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-1WF8YMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,0,0,0,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-2F5JYHB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19,4.37,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0
"tRF-16-34L2H1B",21.71,23.4,0,40.08,0,0,21.76,24.45,17.5,24.39,4.77,0,41.76,18.04,0,5.63,20.46,0,13.14,0,20.29,17.57,0,0,9.28,24.73,0,12.92,25.94,26.25,0,0,24.05,15.39,28.42,17.01,10.83,29.4,6.62,12.3,17.48,14.89,0,8.33,0,11.09,43.26,21.14
"tRF-16-3578Q1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0
"tRF-16-36S0ZFB",0,0,0,0,0,0,0,0,0,0,0,10.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-3I7O3BB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-3JVIJM0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,7.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-3JW261B",21.71,54.61,8.9,50.1,0,12.98,29.02,12.22,35,42.68,47.71,10.84,10.44,45.09,28.53,5.63,0,97.69,65.7,7.79,30.44,58.57,71.86,0,0,37.09,15.87,51.69,46.7,13.12,9.54,27.12,72.14,15.39,9.47,42.53,108.27,9.8,6.62,36.89,61.18,29.79,39.19,33.33,45.7,33.28,10.82,0
"tRF-16-3JWB61B",276.82,826.9,284.84,571.12,387.43,266.14,536.8,293.35,551.31,524.32,710.83,195.1,438.47,631.26,294.84,67.51,143.2,1606.48,1024.94,513.89,395.67,603.3,402.43,397.86,278.35,173.09,967.96,1150.15,861.32,174.99,467.63,470.1,1226.34,192.33,739.01,697.49,844.51,685.98,357.59,381.24,1363.45,841.46,556.51,408.34,639.78,665.68,259.58,401.69
"tRF-16-3KJB01B",0,0,0,10.02,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.65,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-3KJBP1B",0,0,8.9,20.04,0,0,0,12.22,0,0,4.77,10.84,0,9.02,0,0,0,10.85,13.14,0,10.15,0,0,0,4.64,0,0,0,0,0,9.54,0,0,7.69,0,8.51,0,0,0,0,0,7.45,0,0,15.23,11.09,0,0
"tRF-16-3KMB01B",227.97,312.04,275.94,330.65,387.43,110.35,174.1,501.14,367.54,298.74,157.43,270.97,219.23,225.45,171.2,129.39,61.37,466.75,328.51,241.37,466.69,240.15,431.18,238.71,292.27,321.46,460.18,232.61,373.59,227.49,300.62,298.33,456.87,423.13,284.23,272.19,519.7,421.39,231.77,135.28,672.98,387.22,517.32,258.34,594.08,377.22,173.05,246.65
"tRF-16-3KXR3RB",65.13,195.02,160.23,180.35,243.53,45.44,188.61,30.56,78.76,73.16,62.02,97.55,104.4,117.23,133.15,0,634.18,184.53,223.38,140.15,10.15,181.58,431.18,185.67,23.2,12.36,253.89,77.54,119.34,30.62,33.4,81.36,312.6,15.39,104.22,229.66,216.54,274.39,52.98,98.38,139.84,230.84,109.73,91.67,350.35,277.36,162.24,63.42
"tRF-16-3KXRKRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82,0
"tRF-16-3QHMY1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-3VL8W1B",10.86,15.6,0,10.02,11.07,19.47,7.25,0,35,12.19,9.54,0,0,0,9.51,0,20.46,43.42,13.14,7.79,0,29.29,14.37,0,0,12.36,31.74,12.92,10.38,0,14.32,0,0,0,0,0,21.65,0,0,0,8.74,0,0,0,0,11.09,0,0
"tRF-16-3VLIE1B",0,7.8,0,10.02,0,6.49,0,0,0,0,0,0,0,0,0,0,0,10.85,0,15.57,10.15,0,28.75,0,0,0,0,0,5.19,13.12,0,0,24.05,7.69,0,0,0,0,0,0,17.48,7.45,0,0,0,0,10.82,0
"tRF-16-3VMKNRB",54.28,7.8,8.9,70.14,166.04,90.88,123.32,36.67,0,18.29,9.54,86.71,135.72,9.02,209.24,5.63,102.29,54.27,52.56,77.86,20.29,82,100.61,26.52,13.92,12.36,0,12.92,31.13,21.87,14.32,90.4,24.05,0,9.47,25.52,108.27,49,26.49,36.89,17.48,74.47,23.51,25,30.47,33.28,118.97,0
"tRF-16-3VWIQ1B",0,0,0,0,0,0,7.25,6.11,0,0,0,0,0,0,19.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0
"tRF-16-41JKE1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-4892KRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0
"tRF-16-489B3RB",54.28,109.21,222.53,230.45,243.53,181.75,282.91,67.23,140.01,109.74,186.06,119.23,93.96,72.14,199.73,39.38,40.91,130.25,302.23,272.52,71.02,281.15,488.67,318.29,64.95,12.36,174.55,109.85,191.98,61.25,119.29,117.52,408.78,30.77,66.32,102.07,216.54,117.6,72.84,110.68,104.88,379.78,94.06,66.67,319.89,199.7,173.05,183.23
"tRF-16-489L3RB",0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-48YUHSB",0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-4ZUPX1B",0,0,35.61,20.04,11.07,25.96,7.25,0,0,6.1,23.85,10.84,0,0,9.51,0,0,21.71,13.14,15.57,0,5.86,0,0,0,0,15.87,6.46,5.19,0,0,0,0,0,18.95,8.51,10.83,0,19.87,12.3,8.74,7.45,0,16.67,0,11.09,10.82,7.05
"tRF-16-51MLHVB",0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-53887SB",5.43,7.8,0,10.02,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.37,13.26,0,0,0,12.92,0,0,4.77,0,0,0,0,0,0,0,6.62,0,0,0,0,0,15.23,0,10.82,7.05
"tRF-16-53F85SB",0,0,0,0,11.07,0,0,0,0,0,0,0,0,0,9.51,0,0,0,0,7.79,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,10.83,0,0,0,0,0,0,0,15.23,0,0,0
"tRF-16-53KS76B",0,0,0,0,0,0,0,0,0,0,9.54,0,0,0,9.51,0,0,0,0,7.79,0,0,28.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.47,0,0,0
"tRF-16-53L457B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0
"tRF-16-53L45SB",27.14,15.6,0,20.04,33.21,25.96,7.25,18.33,26.25,6.1,14.31,21.68,0,0,9.51,0,0,54.27,39.42,0,10.15,46.86,57.49,13.26,23.2,0,0,19.38,46.7,4.37,9.54,9.04,24.05,7.69,28.42,34.02,0,29.4,0,0,34.96,44.68,0,16.67,0,33.28,0,14.09
"tRF-16-54QFQ2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-58M87SB",0,0,0,10.02,0,0,0,0,0,0,0,0,10.44,9.02,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,5.19,0,0,9.04,0,0,0,0,10.83,0,19.87,0,0,0,0,8.33,0,0,0,0
"tRF-16-5E387SB",0,7.8,17.8,10.02,0,0,14.51,6.11,0,0,0,0,0,0,0,0,0,10.85,0,0,0,5.86,0,13.26,0,0,0,0,15.57,0,0,18.08,0,0,9.47,0,0,9.8,0,0,0,0,7.84,0,0,11.09,10.82,7.05
"tRF-16-5JK87SB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0
"tRF-16-5K8PRZB",0,0,0,0,0,0,0,6.11,0,6.1,0,0,0,0,9.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,30.47,0,0,0
"tRF-16-68K87SB",5.43,0,0,0,0,0,0,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-6KK87SB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,14.37,0,4.64,0,0,6.46,0,4.37,0,0,0,0,0,0,10.83,9.8,0,12.3,0,0,0,0,0,0,0,0
"tRF-16-6NMH49B",10.86,7.8,26.7,30.06,11.07,12.98,7.25,0,17.5,0,0,21.68,10.44,18.04,9.51,0,0,21.71,26.28,7.79,0,35.14,28.75,26.52,23.2,0,31.74,38.77,5.19,8.75,4.77,0,0,46.16,18.95,34.02,43.31,39.2,6.62,0,17.48,0,7.84,8.33,30.47,33.28,10.82,14.09
"tRF-16-7PLPVJB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-7SIRM1B",0,0,0,0,0,0,0,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0
"tRF-16-7SQWU1B",0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,9.51,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-7UK87SB",0,0,0,10.02,11.07,6.49,0,0,0,0,9.54,0,0,9.02,0,5.63,0,10.85,0,7.79,10.15,23.43,28.75,13.26,0,12.36,15.87,0,5.19,0,0,0,0,7.69,9.47,8.51,0,9.8,0,0,0,0,7.84,0,30.47,0,0,0
"tRF-16-7W6SJFB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-83ML5IB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45,0,0,0,0,0,0
"tRF-16-83RPF5B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.19,0,0
"tRF-16-8HWVZ5B",0,0,8.9,10.02,11.07,6.49,0,12.22,8.75,0,19.08,0,20.88,0,0,5.63,20.46,0,26.28,23.36,0,23.43,28.75,0,0,0,0,6.46,5.19,0,9.54,9.04,0,15.39,0,8.51,10.83,0,0,0,0,7.45,0,8.33,0,0,0,0
"tRF-16-8K587SB",0,31.2,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.15,0,0,13.26,0,0,15.87,19.38,0,4.37,0,0,24.05,7.69,0,0,10.83,9.8,0,12.3,0,7.45,0,0,0,0,0,21.14
"tRF-16-8Q9VZVB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0
"tRF-16-8RQFR9B",0,0,0,0,0,6.49,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-94V4SMB",48.85,312.04,62.31,250.49,99.62,58.42,58.03,110.01,61.26,97.55,100.18,119.23,104.4,144.29,28.53,185.64,61.37,54.27,131.4,31.14,223.2,64.43,100.61,39.79,264.44,160.73,158.68,103.38,36.32,61.25,52.49,63.28,24.05,315.43,265.28,85.06,324.81,117.6,125.82,36.89,113.62,89.36,148.92,100,106.63,144.23,75.71,176.18
"tRF-16-9EDJSYB",0,39,0,0,22.14,0,0,0,0,0,0,21.68,10.44,0,0,0,0,10.85,0,0,30.44,0,14.37,0,9.28,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,8.33,0,0,0,0
"tRF-16-9F51MLB",0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0
"tRF-16-9N1EWJ0",0,0,0,0,0,0,0,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-9NDJ58B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-9NDJI8B",0,0,0,0,0,0,0,0,0,0,0,0,0,9.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-9NF5W80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-B11KWHB",0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05
"tRF-16-D3387SB",0,0,8.9,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,21.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48,0,0,8.33,0,0,0,0
"tRF-16-D33U7SB",0,0,8.9,0,0,0,7.25,0,8.75,0,0,0,0,0,0,0,0,21.71,0,7.79,20.29,5.86,0,0,0,0,0,25.85,0,0,0,0,0,7.69,0,0,10.83,0,26.49,0,0,7.45,7.84,16.67,15.23,0,0,7.05
"tRF-16-D3887SB",0,0,0,0,0,6.49,14.51,0,0,6.1,0,21.68,0,9.02,0,5.63,40.91,0,0,0,0,0,14.37,0,0,0,31.74,0,0,4.37,0,9.04,0,0,0,8.51,0,0,0,0,8.74,0,0,0,15.23,11.09,43.26,0
"tRF-16-D3947SB",0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,10.85,0,0,0,11.71,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,21.65,9.8,0,0,0,0,0,0,0,0,0,0
"tRF-16-D3987SB",5.43,0,0,10.02,0,6.49,0,0,0,0,0,0,0,0,9.51,0,0,0,0,7.79,0,0,14.37,13.26,0,0,0,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.63,7.05
"tRF-16-D3KS7SB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79,0,0,14.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-D3L87SB",0,0,0,0,11.07,0,14.51,0,8.75,12.19,14.31,0,0,0,19.02,0,61.37,0,0,15.57,0,11.71,43.12,26.52,4.64,0,15.87,0,0,0,4.77,9.04,24.05,0,0,8.51,0,9.8,13.24,0,17.48,7.45,7.84,0,30.47,0,10.82,0
"tRF-16-D3XW76B",5.43,0,0,10.02,11.07,0,0,0,0,6.1,0,0,10.44,9.02,0,5.63,20.46,0,39.42,0,0,5.86,43.12,13.26,4.64,12.36,0,0,5.19,0,0,0,0,0,9.47,8.51,0,19.6,0,0,0,0,7.84,0,0,0,10.82,0
"tRF-16-D6MSRMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.37,0,0,0,0,0,0,0,0,0,24.05,7.69,9.47,0,0,9.8,0,0,0,0,0,0,0,0,0,0
"tRF-16-D7OKW4B",10.86,93.61,115.72,60.12,33.21,58.42,79.8,55,140.01,67.06,190.83,10.84,52.2,81.16,38.04,5.63,20.46,119.4,105.12,93.43,60.87,52.72,57.49,0,41.75,111.27,31.74,77.54,51.89,52.5,62.03,54.24,72.14,38.47,104.22,102.07,21.65,49,52.98,36.89,104.88,59.57,23.51,108.34,60.93,88.76,54.08,112.75
"tRF-16-DE287SB",0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-DE8P7SB",0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,15.87,0,0,0,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0
"tRF-16-DEL87SB",0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.87,0,5.19,4.37,0,0,0,0,0,0,0,0,0,24.6,0,7.45,0,0,0,0,0,0
"tRF-16-DEXK7SB",564.49,608.48,1246.19,531.04,1095.87,233.68,515.04,36.67,166.27,756,200.37,672,428.03,351.7,190.22,196.89,4255.15,173.67,565.03,389.31,50.73,738.02,589.28,702.88,102.06,1310.57,1920.06,90.46,394.34,35,209.96,126.57,288.55,61.55,170.54,561.4,563.01,783.98,430.43,627.2,279.68,603.17,666.24,41.67,1233.85,743.34,216.32,42.28
"tRF-16-DEXP7SB",37.99,78.01,44.51,30.06,232.46,64.91,7.25,0,8.75,36.58,38.17,43.35,83.52,45.09,47.55,56.25,450.06,21.71,105.12,15.57,0,52.72,129.35,132.62,18.56,234.91,158.68,19.38,20.75,8.75,19.09,9.04,24.05,23.08,28.42,42.53,43.31,58.8,39.73,24.6,17.48,29.79,54.87,16.67,76.16,77.66,54.08,0
"tRF-16-DHHS19B",0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-16-DJPPE6B",0,0,0,0,0,0,0,0,0,0,0,10.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,15.39,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05
"tRF-16-DJQV76B",0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,0,0,5.86,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,10.83,0,0,0,0,0,0,8.33,0,0,0,0
"tRF-16-DJXW7SB",21.71,15.6,17.8,30.06,11.07,0,29.02,55,35,12.19,14.31,10.84,41.76,18.04,9.51,11.25,40.91,21.71,39.42,15.57,30.44,23.43,0,66.31,13.92,12.36,15.87,19.38,10.38,4.37,9.54,0,24.05,46.16,28.42,17.01,10.83,0,6.62,12.3,17.48,7.45,15.68,0,15.23,0,86.53,21.14
